frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"86","Dec 17, 2025 19:22:13.169361000 EST","192.168.138.1","192.168.138.255","128","eth:ethertype:ip:udp:data",,,,"57621","57621",,
"74","Dec 17, 2025 19:22:14.818340000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38113","445","0x0002",,,,
"60","Dec 17, 2025 19:22:14.818634000 EST",,,,"eth:ethertype:arp",,,,,,,
"42","Dec 17, 2025 19:22:14.818657000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 17, 2025 19:22:14.818801000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","445","38113","0x0012",,,,
"66","Dec 17, 2025 19:22:14.818833000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38113","445","0x0010",,,,
"154","Dec 17, 2025 19:22:14.826076000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","38113","445","0x0018",,,"0x72","LANMAN1.0"
"197","Dec 17, 2025 19:22:14.837986000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:spnego","445","38113","0x0018",,,"0x72",
"66","Dec 17, 2025 19:22:14.838028000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","38113","445","0x0010",,,,
"212","Dec 17, 2025 19:22:14.839686000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38113","445","0x0018",,,"0x73",
"417","Dec 17, 2025 19:22:14.839903000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","445","38113","0x0018",,,"0x73",
"262","Dec 17, 2025 19:22:14.841146000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb:gss-api:ntlmssp","38113","445","0x0018",,,"0x73",
"179","Dec 17, 2025 19:22:14.841426000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38113","0x0018",,,"0x73",
"143","Dec 17, 2025 19:22:14.842533000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","38113","445","0x0018",,,"0x75",
"116","Dec 17, 2025 19:22:14.842664000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38113","0x0018",,,"0x75",
"144","Dec 17, 2025 19:22:14.844023000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp:nbss:smb","38113","445","0x0018",,,"0x25",
"105","Dec 17, 2025 19:22:14.844134000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb","445","38113","0x0018",,,"0x25",
"74","Dec 17, 2025 19:22:14.844887000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","41793","135","0x0002",,,,
"74","Dec 17, 2025 19:22:14.845031000 EST","192.168.138.187","192.168.138.181","128","eth:ethertype:ip:tcp","135","41793","0x0012",,,,
"66","Dec 17, 2025 19:22:14.845053000 EST","192.168.138.181","192.168.138.187","64","eth:ethertype:ip:tcp","41793","135","0x0010",,,,
