frame.len,frame.time,ip.src,ip.dst,ip.ttl,frame.protocols,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,smb.cmd,smb.dialect
"110","Dec 18, 2025 15:29:38.196148000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"42","Dec 18, 2025 15:29:39.290271000 EST",,,,"eth:ethertype:arp",,,,,,,
"60","Dec 18, 2025 15:29:39.290441000 EST",,,,"eth:ethertype:arp",,,,,,,
"74","Dec 18, 2025 15:29:39.290447000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0002",,,,
"74","Dec 18, 2025 15:29:39.290627000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp","445","48904","0x0012",,,,
"66","Dec 18, 2025 15:29:39.290655000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"233","Dec 18, 2025 15:29:39.290805000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb","48904","445","0x0018",,,"0x72","MICROSOFT NETWORKS 3.0"
"240","Dec 18, 2025 15:29:39.305487000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:39.305537000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"334","Dec 18, 2025 15:29:39.305769000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"240","Dec 18, 2025 15:29:39.305972000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego","445","48904","0x0018",,,,
"232","Dec 18, 2025 15:29:39.308387000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego:ntlmssp","48904","445","0x0018",,,,
"413","Dec 18, 2025 15:29:39.308686000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego:ntlmssp","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:39.349979000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"110","Dec 18, 2025 15:29:39.710266000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"78","Dec 18, 2025 15:29:40.007585000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"52488","53",,
"86","Dec 18, 2025 15:29:40.423853000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"59193","5355",,
"66","Dec 18, 2025 15:29:40.423919000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"59193","5355",,
"72","Dec 18, 2025 15:29:40.424169000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:40.426038000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"72","Dec 18, 2025 15:29:40.840345000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:40.842178000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"78","Dec 18, 2025 15:29:41.022447000 EST","192.168.138.180","192.168.138.2","128","eth:ethertype:ip:udp:dns",,,,"52488","53",,
"110","Dec 18, 2025 15:29:41.256790000 EST","192.168.138.180","192.168.138.255","128","eth:ethertype:ip:udp:nbns",,,,"137","137",,
"86","Dec 18, 2025 15:29:41.442275000 EST",,,,"eth:ethertype:ipv6:udp:llmnr",,,,"62490","5355",,
"66","Dec 18, 2025 15:29:41.442314000 EST","192.168.138.1","224.0.0.252","1","eth:ethertype:ip:udp:llmnr",,,,"62490","5355",,
"72","Dec 18, 2025 15:29:41.442544000 EST","192.168.138.1","224.0.0.251","1","eth:ethertype:ip:udp:mdns",,,,"5353","5353",,
"92","Dec 18, 2025 15:29:41.444339000 EST",,,,"eth:ethertype:ipv6:udp:mdns",,,,"5353","5353",,
"692","Dec 18, 2025 15:29:41.474775000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego:ntlmssp:ntlmssp","48904","445","0x0018",,,,
"171","Dec 18, 2025 15:29:41.484718000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2:gss-api:spnego:ntlmssp","445","48904","0x0018",,,,
"66","Dec 18, 2025 15:29:41.484759000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp","48904","445","0x0010",,,,
"186","Dec 18, 2025 15:29:41.484964000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
"150","Dec 18, 2025 15:29:41.485146000 EST","192.168.138.180","192.168.138.181","128","eth:ethertype:ip:tcp:nbss:smb2","445","48904","0x0018",,,,
"224","Dec 18, 2025 15:29:41.485253000 EST","192.168.138.181","192.168.138.180","64","eth:ethertype:ip:tcp:nbss:smb2","48904","445","0x0018",,,,
